"year","Canada","Foreign","total"
1968,11118,9720,20838
1969,13257,5379,18636
1970,15710,5296,21006
1971,14942,9554,24496
1972,16253,6107,22360
1973,21566,16984,38550
1974,16701,27954,44655
1975,13540,22718,36258
1976,15746,17319,33065
1977,19852,2913,22765
1978,25429,470,25899
1979,30244,368,30612
1980,22135,161,22296
1981,19294,61,19355
1982,16380,3,16383
1983,19797,9,19806
1984,17320,913,18233
1985,29855,1051,30906
1986,30325,772,31097
1987,27488,71,27559
1988,24060,956,25016
1989,20795,347,21142
1990,19190,3857,23047
1991,24914,597,25511
1992,24307,2255,26562
1993,26158,690,26848
1994,20564,49,20613
1995,17626.603,62,17688.603
1996,20281.88,76,20357.88
1997,21294.067,116,21410.067
1998,19502.802,10,19512.802
1999,16828.995,12,16840.995
2000,16070.431,26,16096.431
2001,24336.225,11,24347.225
2002,34615.771,7,34622.771
2003,44651.584,9,44660.584
2004,53895.862,14,53909.862
2005,55998.306,0,55998.306
2006,53756.332,3,53759.332
2007,53365.2,0,53365.2
2008,29635.636,4,29639.636
2009,42205.085,0,42205.085
2010,38646.004,0,38646.004
2011,11484.603,0,11484.603
2012,6843.073,0,6843.073
2013,8673.964,0,8673.964
2014,6679.647,0,6679.647
2015,4272.313,1,4273.313
2016,8051.791,0,8051.791
2017,9765.074,3,9768.074
2018,11051.269,0,11051.269
2019,8749.92,0,8749.92
2020,7956.753,0,7956.753
2021,4518.603,0,4518.603
2022,141.37,0,141.37
2023,95.001,0,95.001
2024,100.577,0,100.577
