"","Year","Commercial","Recreational"
"1",1968,3453,NA
"2",1969,4040,NA
"3",1970,3635,NA
"4",1971,2335,NA
"5",1972,2508,NA
"6",1973,2029,NA
"7",1974,1074,NA
"8",1975,1838,NA
"9",1976,2259,NA
"10",1977,1260,NA
"11",1978,1518,NA
"12",1979,1751,NA
"13",1980,2701,NA
"14",1981,2922,2444
"15",1982,3300,1871
"16",1983,2919,2746
"17",1984,2973,2618
"18",1985,2863,3704
"19",1986,4012,7583
"20",1987,4294,6807
"21",1988,6395,4485
"22",1989,7017,2704
"23",1990,9035,3017
"24",1991,15653,3433
"25",1992,11708,765
"26",1993,4662,1153
"27",1994,8918,2486
"28",1995,8433,1294
"29",1996,15570,2291
"30",1997,14939,2489
"31",1998,12235,1427
"32",1999,11824,2594
"33",2000,5569,2779
"34",2001,12298,2766
"35",2002,21474,2433
"36",2003,30920,1639
"37",2004,54990,1045
"38",2005,42206,1639
"39",2006,56637,3179
"40",2007,25544,719
"41",2008,21733,2374
"42",2009,22620,1520
"43",2010,9856,3950
"44",2011,522,3644
"45",2012,5332,2386
"46",2013,4134,2277
"47",2014,5948,2063
"48",2015,5672,3654
"49",2016,5708,4149
"50",2017,6959,3602
"51",2018,8719,2064
"52",2019,5047,1760
"53",2020,8028,1855
"54",2021,5474,1932
