"year","2G","2J","3K","3L","3N","3O","3PN","3PS","4R","4S","4T","4V","4VN","4VS","4W","4X","5Y","5ZE","NA"
1968,0,0,126,51,0,0,9,184,7,487,4663,17,1765,42,10559,2928,0,0,0
1969,0,0,228,12,0,0,7,72,30,3,3739,0,2085,1090,6379,4991,0,0,0
1970,0,20,525,159,0,3,16,139,65,11,5812,0,2759,497,5624,5376,0,0,0
1971,0,207,692,412,0,0,26,169,151,121,5782,0,1915,163,10159,4699,0,0,0
1972,0,0,587,844,0,0,20,128,205,180,7351,0,2074,64,6582,4325,0,0,0
1973,0,372,843,1343,0,0,20,297,206,292,9438,0,3896,655,15788,5400,0,0,0
1974,0,0,353,1352,0,0,10,236,92,67,6864,0,2445,16,22218,11002,0,0,0
1975,0,0,1657,1922,0,0,35,555,65,26,2126,0,2128,569,19757,7418,0,0,0
1976,0,0,1400,3794,0,0,17,65,123,87,2945,0,3114,4321,12949,4250,0,0,0
1977,0,0,663,7127,0,0,15,60,22,71,2670,0,1399,3,5140,5595,0,0,0
1978,0,0,5688,7731,0,0,149,104,52,12,3197,0,2547,7,2400,4012,0,0,0
1979,0,5,3232,11384,0,0,22,208,480,7,6096,0,3000,0,2331,3847,0,0,0
1980,0,0,1042,5058,0,0,8,82,1016,7,8070,0,2809,1,1891,2312,0,0,0
1981,0,1,2142,4566,0,0,26,135,60,6,5960,0,2084,0,1385,2990,0,0,0
1982,0,0,6,210,0,0,1,19,72,11,8422,0,2133,0,997,4512,0,0,0
1983,0,0,3850,3839,0,0,7,57,561,1,6103,0,1111,5,725,3547,0,0,0
1984,0,0,4265,1237,0,0,48,88,229,69,5548,0,2416,0,1505,2828,0,0,0
1985,0,0,9931,5139,0,1,18,549,118,68,7774,0,1701,0,1639,3968,0,0,0
1986,0,1,7754,4386,0,0,8,142,196,171,12904,0,972,0,1230,3333,0,0,0
1987,0,2,7007,2689,0,0,11,178,3240,100,9009,0,1346,3,905,3069,0,0,0
1988,0,0,3734,869,0,0,13,38,1960,36,11350,0,1806,1,1590,3619,0,0,0
1989,0,0,2211,307,0,0,3,98,3425,49,9918,0,1685,0,577,2869,0,0,0
1990,0,0,789,317,0,0,4,96,3052,19,9032,0,2394,2,4311,3031,0,0,0
1991,0,0,687,52,0,0,5,92,7541,22,10131,0,2382,3,1372,3224,0,0,0
1992,0,0,3757,24,2,19,21,45,6050,28,7813,0,1277,68,2650,4808,0,0,0
1993,0,0,4444,644,0,0,0,45,4577,75,10170,0,1555,0,1129,4209,0,0,0
1994,0,0,16,6,0,0,20,27,2517,36,10377,0,1692,0,753,5169,0,0,0
1995,0,0,11.07,10.623,0,0,90.114,33.049,2696.744,29.643,8181.769,0,1474.826,0,681.973,4478.762,0,0.03,0
1996,0,0,3.11,0.155,0,0,60.101,11.003,3680.264,9.196,11348.195,0,1590.617,0,1256.582,2398.657,0,0,0
1997,0,0,0,0,0,0,7.735,1,1166.552,1.058,15356.963,0,835.458,2.051,829.347,3209.902,0,0.001,0
1998,0,0,6.653,0,0,0,65.316,29.696,2232.026,0.261,12411.624,0,553.611,0.599,145.249,3662.119,78.4,0,0
1999,0,0,0,0,0,0,7.002,0.193,1402.848,2.143,10562.303,0,757.349,4.568,138.39,3663.199,0,0,0
2000,0,12.956,2316.686,55.322,0,0,18.604,26.972,1974.146,0.002,7004.941,0,575.691,0.001,119.586,3662.723,0.614,0,310.848
2001,0,0,321.903,10.314,0,0,102.168,178.8,8375.183,16.317,11914.641,0,125.029,0,251.476,2743.314,0,0,308.08
2002,0,0,6549.586,2.647,0,0,135.482,33.577,11205.434,1.777,14158.276,0,307.748,0,115.103,1770.933,0,0,326.044
2003,0,0,588.124,0,0,0,105.373,49.67,25680.812,0,14091.316,0,59.397,0.238,11.591,3668.966,0,0,216.772
2004,0,0,15959.237,57.78,0,0,28.224,49.885,23860.3,0.437,9336.635,0,10.372,2.359,72.658,4135.956,0,0,361.582
2005,0,0,24169.667,4104.696,0,0,81.691,156.045,14116.252,34.684,9231.95,0,125.206,0.45,36.273,2521.2,0,0,185.656
2006,0,0,19004.707,7927.946,0,0,76.812,192.359,16872.08,76.448,7753.34,0,221.539,2.344,74.707,1304.11,0,0,0
2007,0,0,8657.83,10621.732,0,27.216,51.583,302.06,24776.857,18.55,5758.856,0,367.033,3.205,58.702,1928.469,0,0,651.384
2008,0,0,8938.393,4.384,0,0,5.928,163.704,13741.445,22.587,4882.652,0,110.237,0,62.526,996.497,0,0,549.442
2009,0,0,6883.417,39.326,0,0,5023.961,362.612,21908.551,63.546,6651.363,0,51.07,3.662,65.194,979.646,0,15.876,156.522
2010,0,0,12870.71,830.205,0,0,4343.457,1197.092,13868.981,123.328,4700.792,0,6.234,0.725,129.371,417.571,0,0,157.524
2011,0,0,426.181,60.905,0,0,611.572,932.396,5285.718,106.624,3541.319,0,1.528,0,17.558,389.237,0,0,111.56
2012,0,78.028,127.633,2.88,0,0,0.03,148.628,2261.046,304.364,3128.058,0,141.707,6.815,176.505,364.77,0,0,100.903
2013,39.886,3.752,191.076,0,0,0,25.753,0,4909.019,245.24,2758.652,0,142.987,2.427,16.649,241.006,0,0,97.33
2014,0,0,6.211,25.251,0,0,0,246.04,3154.553,20.411,2389.231,0,142.679,0,219.572,339.323,0,0,134.915
2015,0,0,208.167,53.939,0,0,0,1,438.458,28.929,2234.158,0,55.833,2.184,186.346,681.891,244.907,0,137.08
2016,0,0,2794.75,0,0,0,0,0,1836.037,62.345,1987.025,0,119.491,0,147.817,939.613,0.816,0,157.565
2017,0,0,1122.267,0.075,0,0,1.391,47.604,1463.209,138.894,4793.923,0,154.63,6.947,301.93,1447.857,132.5,0,141.027
2018,0,74.384,5294.546,0.005,0,0.272,0,0.628,245.043,466.683,3187.783,0,126.57,9.723,165.061,1175.043,0.05,1.845,160.141
2019,0,38.101,4686.122,0,0,0,0,0.055,89.471,223.42,2703.318,0,82.217,0.908,255.302,513.24,52.449,0,105.301
2020,0,207.017,3714.464,46.294,0,0,0,0.452,47.028,259.079,2352.132,0,98.099,3.196,215.391,874.959,0,0.152,128.764
2021,0,0,436.464,0,0,3.625,0,3.588,176.597,300.328,2254.259,0,62.936,1.996,213.975,935.967,0,0,115.46
2022,0,0,0.141,0,0,0,0,0,0,0,0.838,0,4.409,0,6.673,43.523,0,0,0.082
