"year","Alewife","American plaice","Atlantic halibut","Capelin","Catfish","Cod","Cusk","Greenland halibut","Greysole (Witch)","Haddock","Herring","Iceland scallop","Lobster","Mackerel","Monkfish","Pollock","Red hake","Redfish","Rock crab","Scallop","Sculpins","Shad","Shortfin mako","Silver hake","Skate","Snow crab","Soft-shell Clam","Spiny dogfish","Squid","Striped bass","Toad crab","Tuna (Bigeye)","Unspecified flounders","Unspecified groundfish","Unspecified items","Unspecified pelagic fish","Unspecified shark","Whelk","White hake","Winter flounder","Yellowtail","NA"
1985,0,0,0,0,0,16441,0,0,0,0,0,0,0,9108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29426219
1986,0,0,0,0,0,3046,0,0,0,0,0,0,0,24318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18693687
1987,0,82,0,0,0,745,0,1,0,0,278849,0,0,2148981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25580,0,168961,0,0,0,0,0,24875324
1988,0,3628,222,0,0,27708,0,0,0,3003,381816,0,0,5543953,0,16086,0,219,0,0,0,316,0,0,0,0,0,0,1447,0,0,0,0,3967,0,0,0,0,0,0,0,17448325
1989,3401,37,2,0,0,173583,0,0,5,393,54238,0,0,5056891,0,44597,0,4900,0,0,0,181,0,0,0,0,0,759,45,0,0,0,0,90,0,0,0,0,2,0,0,13323786
1990,0,38,381,0,0,141790,0,0,208,619,97925,0,0,8715245,214,94809,0,0,0,0,0,0,69,11,0,0,0,0,9527,0,0,0,0,1623,0,0,0,0,1795,135,0,12247860
1991,0,0,120,0,0,25593,0,0,0,378,183881,0,0,11546529,0,70395,0,78,0,0,0,0,89,0,0,0,0,0,830,0,0,0,0,0,0,0,0,0,0,0,0,13981974
1992,126071,0,19,0,478,23719,2527,0,0,131,366584,0,0,12134103,0,4014,0,0,0,0,0,0,56,1094155,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,9521504
1993,0,3382,30,12038,0,318185,0,0,0,420,134892,0,0,13639607,0,10598,0,0,0,0,0,0,0,603949,0,0,0,0,1109,0,0,0,1,0,1676741,0,0,0,0,416,0,10171033
1994,0,0,0,0,0,7757,0,0,0,12,535351,0,0,8986228,1,439,0,330,0,0,0,0,0,41706,0,0,0,364,29,0,0,0,0,0,0,1125,0,200,72,0,0,11254946
