"year","month","nafo","gear.cat","source","catch","country","prov"
2022,6,"4T","LX","S52",0.15,"Canada","QC"
2022,7,"4S","PS","S52",2.268,"Canada","QC"
2022,7,"4T","LX","S52",0.396,"Canada","NB"
2022,7,"4T","LX","S52",0.977,"Canada","QC"
2022,7,"4W","LX","S52",0.691,"Canada","NS"
2022,7,"4X","LX","S52",0.048,"Canada","NS"
2022,8,"3K","GN","S52",0.9,"Canada","NL"
2022,8,"3K","PS","S52",0.3,"Canada","NL"
2022,8,"3L","GN","S52",0.3,"Canada","NL"
2022,8,"4R","GN","S52",0.9,"Canada","NL"
2022,8,"4R","LX","S52",0.6,"Canada","NL"
2022,8,"4T","LX","S52",0.014,"Canada","NB"
2022,8,"4T","LX","S52",1.5,"Canada","QC"
2022,8,"4W","LX","S52",0.661,"Canada","NS"
2022,8,"4X","LX","S52",0.308,"Canada","NS"
2022,9,"3K","GN","S52",1.2,"Canada","NL"
2022,9,"3K","LX","S52",0.6,"Canada","NL"
2022,9,"3L","GN","S52",0.3,"Canada","NL"
2022,9,"4R","GN","S52",0.6,"Canada","NL"
2022,9,"4R","LX","S52",0.9,"Canada","NL"
2022,9,"4T","LX","S52",0.918,"Canada","QC"
2022,9,"4W","LX","S52",0.3,"Canada","NS"
2022,9,"4X","LX","S52",0.387,"Canada","NS"
2022,10,"3K","GN","S52",1.2,"Canada","NL"
2022,10,"3L","GN","S52",0.3,"Canada","NL"
2022,10,"4R","GN","S52",0.9,"Canada","NL"
2022,10,"4W","LX","S52",0.3,"Canada","NS"
2022,10,"4X","LX","S52",0.145,"Canada","NS"
2022,11,"3K","GN","S52",0.6,"Canada","NL"
2022,11,"4W","LX","S52",0.3,"Canada","NS"
2022,11,"4X","LX","S52",0.362,"Canada","NS"
2023,6,"4T","GND","S52",0.6,"Canada","PEI"
2023,6,"4T","LX","S52",0.3,"Canada","NB"
2023,6,"4T","LX","S52",0.662,"Canada","PEI"
2023,6,"4W","GND","S52",0.082,"Canada","NS"
2023,6,"4W","LX","S52",0.272,"Canada","NS"
2023,6,"4X","LX","S52",0.764,"Canada","NS"
2023,7,"4R","LX","S52",1.179,"Canada","NL"
2023,7,"4T","LX","S52",0.9,"Canada","NB"
2023,7,"4T","LX","S52",1.8,"Canada","PEI"
2023,7,"4T","LX","S52",0.9,"Canada","QC"
