"year"	"prov"	"sample.id"	"gear.full"	"date"	"wcatch"	"wcatch.unit"
"1"	2024	"NS"	74369	"Gillnets (not specified)"	2024-05-14	227	"KG"
"2"	2024	"NS"	74372	"Gillnets (not specified)"	2024-05-25	113	"KG"
"3"	2024	"NS"	73510	"Hooks and lines (not specified)"	2024-06-15	263	"KG"
"4"	2024	"NS"	73530	"Hooks and lines (not specified)"	2024-06-19	300	"KG"
"5"	2024	"NS"	73569	"Hooks and lines (not specified)"	2024-06-29	264	"KG"
"6"	2024	"NS"	73571	"Hooks and lines (not specified)"	2024-07-03	254	"KG"
"7"	2024	"NS"	73570	"Hooks and lines (not specified)"	2024-07-04	32	"KG"
"8"	2024	"NS"	74373	"Hooks and lines (not specified)"	2024-07-10	NA	NA
"9"	2024	"NS"	73572	"Hooks and lines (not specified)"	2024-07-11	263	"KG"
"10"	2024	"NS"	74370	"Hooks and lines (not specified)"	2024-07-18	272	"KG"
"11"	2024	"NS"	73589	"Hooks and lines (not specified)"	2024-07-19	282	"KG"
"12"	2024	"NS"	74389	"Hooks and lines (not specified)"	2024-07-22	300	"KG"
"13"	2024	"NS"	73609	"Hooks and lines (not specified)"	2024-07-30	159	"KG"
"14"	2024	"NS"	73629	"Hooks and lines (not specified)"	2024-08-13	293	"KG"
"15"	2024	"NS"	74371	"Hooks and lines (not specified)"	2024-08-14	136	"KG"
"16"	2024	"NS"	74390	"Hooks and lines (not specified)"	2024-08-20	300	"KG"
"17"	2024	"NS"	73743	"Purse seine"	2024-08-28	NA	"KG"
"18"	2024	"NS"	74374	"Hooks and lines (not specified)"	2024-09-12	NA	NA
"19"	2024	"NS"	74391	"Hooks and lines (not specified)"	2024-09-18	300	"KG"
"20"	2024	"NS"	73741	"Hooks and lines (not specified)"	2024-09-24	300	"KG"
"21"	2024	"NS"	74375	"Hooks and lines (not specified)"	2024-10-08	113	"KG"
"22"	2024	"NS"	74309	"Hooks and lines (not specified)"	2024-10-17	60	"KG"
"23"	2024	"NS"	74392	"Hooks and lines (not specified)"	2024-10-28	300	"KG"
