"year","Beach and bar or Tuck seine","Bottom Otter Trawl","Danish, Scottish or Pair seine","Driftnet","Gillnet","Handline","Jigger","Lobster Pound","Longline","Midwater trawl","Miscellaneous","Pair seine","Purse seine","Scottish seine","Trap","Unspecified","Weir","NA"
1968,212,9720,0,0,3957,0,0,1381,0,0,3156,0,2258,0,0,0,154,0
1969,55,4100,0,151,4178,930,0,1272,5,1278,0,0,2156,0,1101,2922,488,0
1970,362,4191,0,0,4808,205,0,2150,8,1054,1704,0,3469,0,0,819,2236,0
1971,505,9513,0,0,5168,505,0,1955,2,46,1669,0,3974,0,0,0,1159,0
1972,790,6094,0,0,4391,538,0,1320,0,3,2335,0,5811,0,0,0,1078,0
1973,531,16828,1,0,5966,80,0,2575,26,0,0,0,8802,0,0,3109,632,0
1974,164,21040,0,0,5241,554,0,2737,4,6830,1223,0,6271,0,0,109,482,0
1975,462,17485,0,0,5120,118,0,3829,16,4953,798,0,2527,0,0,291,659,0
1976,1199,2546,0,0,3760,711,0,3293,0,14178,3074,0,4084,0,0,0,220,0
1977,1828,347,0,0,5767,527,0,4199,2,2610,744,0,6636,0,0,0,105,0
1978,4825,430,8,0,6366,1286,0,3689,21,52,654,0,8506,0,0,0,62,0
1979,5562,325,77,0,8583,1272,0,4087,0,52,607,47,9997,0,0,0,3,0
1980,1715,238,9,0,8744,994,0,1635,0,0,2244,0,6709,0,0,0,8,0
1981,3385,231,13,0,7020,1095,0,2362,0,0,1560,8,3654,0,0,0,27,0
1982,117,14,0,0,6463,1945,0,3884,0,0,3543,0,302,0,0,0,115,0
1983,2519,66,2,0,5639,1132,0,3023,16,0,2214,6,5160,3,0,0,26,0
1984,1146,924,0,0,5887,3607,0,2926,46,0,9,0,3581,0,0,2,105,0
1985,1744,1043,0,1524,6767,3422,0,3214,13,1,67,0,12661,0,0,7,443,0
1986,1471,728,4,1506,7597,3273,0,4308,14,42,5,0,11206,0,0,0,943,0
1987,1320,67,0,800,6475,3476,0,3282,5,0,0,0,11751,0,0,0,383,0
1988,266,798,0,920,8425,4984,0,2694,26,161,80,0,6318,0,0,0,344,0
1989,216,258,0,945,7709,4046,0,2167,15,60,2,0,5622,0,0,1,101,0
1990,166,1751,0,245,8045,4898,0,1884,17,2103,0,0,3866,0,0,9,63,0
1991,48,229,0,495,6794,6121,0,2910,1,368,3,0,8541,0,0,1,0,0
