"year","Alewife","American plaice","Atlantic halibut","Capelin","Catfish","Cod","Cusk","Greenland halibut","Greysole (Witch)","Haddock","Herring","Iceland scallop","Lobster","Mackerel","Monkfish","Pollock","Red hake","Redfish","Rock crab","Scallop","Sculpins","Shad","Shortfin mako","Silver hake","Skate","Snow crab","Soft-shell Clam","Spiny dogfish","Squid","Striped bass","Swordfish","Toad crab","Tuna (Bigeye)","Unspecified flounders","Unspecified groundfish","Unspecified items","Unspecified pelagic fish","Unspecified shark","Whelk","White hake","Winter flounder","Yellowtail","NA"
1985,0,0,0,0,0,32882,0,0,0,0,0,0,0,18216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58852438
1986,0,0,0,0,0,6092,0,0,0,0,0,0,0,48636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37387374
1987,0,164,0,0,0,1490,0,2,0,0,557698,0,0,4297962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51160,0,337922,0,0,0,0,0,49750648
1988,0,7256,444,0,0,55416,0,0,0,6006,763632,0,0,11087906,0,32172,0,438,0,0,0,632,0,0,0,0,0,0,2894,0,0,0,0,0,7934,0,0,0,0,0,0,0,34896650
1989,6802,74,4,0,0,347166,0,0,10,786,108476,0,0,10113782,0,89194,0,9800,0,0,0,362,0,0,0,0,0,1518,90,0,0,0,0,0,180,0,0,0,0,4,0,0,26647572
1990,0,76,762,0,0,283580,0,0,416,1238,195850,0,0,17430490,428,189618,0,0,0,0,0,0,138,22,0,0,0,0,19054,0,0,0,0,0,3246,0,0,0,0,3590,270,0,24495720
1991,0,0,240,0,0,51186,0,0,0,756,367762,0,0,23093058,0,140790,0,156,0,0,0,0,178,0,0,0,0,0,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,27963948
1992,252142,0,38,0,956,47438,5054,0,0,262,733168,0,0,24268206,0,8028,0,0,0,0,0,0,112,2188310,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,19043008
1993,0,6764,60,24076,0,636370,0,0,0,840,269784,0,0,27279214,0,21196,0,0,0,0,0,0,0,1207898,0,0,0,0,2218,0,0,0,0,2,0,3353482,0,0,0,0,832,0,20342066
1994,0,0,0,0,0,15514,0,0,0,24,1070702,0,0,17972456,2,878,0,660,0,0,0,0,0,83412,0,0,0,728,58,0,0,0,0,0,0,0,2250,0,400,144,0,0,22509892
