"year","Gulf","Maritimes","Newfoundland","Quebec","Unknown"
1968,0,0,193,0,20645
1969,0,0,341,0,18295
1970,0,0,922,0,20084
1971,0,0,1657,0,22839
1972,0,0,1759,0,20601
1973,0,0,2917,0,35633
1974,0,0,1934,0,42721
1975,0,0,3864,0,32394
1976,0,0,5354,0,27711
1977,0,0,7925,0,14840
1978,0,0,13724,0,12175
1979,0,13995,15331,918,368
1980,0,13379,7206,1550,161
1981,0,10914,6930,1450,61
1982,0,12588,308,3484,3
1983,0,9318,8314,2165,9
1984,0,9222,5867,2231,913
1985,0,11927,15748,2180,1051
1986,0,14882,12445,2998,772
1987,0,11612,13123,2753,71
1988,0,13780,6614,3666,956
1989,0,12528,6015,2252,347
1990,0,12965,4255,1970,3857
1991,0,13288,8377,3249,597
1992,0,10935,9893,3479,2255
1993,0,13275,9710,3173,690
1994,0,14442,2583,3539,49
1995,3432.027,446.051,2726.679,2571.048,62
1996,5835.157,511.052,3754.578,3795.932,76
1997,7281.026,1726.406,1174.287,5457.703,116
1998,7848.018,4482.1,2239.104,3732.303,10
1999,4813.462,4691.305,1410.043,5103.569,12
2000,5021.08,4517.59,4395.798,1711.137,26
2001,6868.489,3837.486,8981.081,2903.734,11
2002,7258.454,3304.577,17935.89,4094.666,7
2003,5650.118,6684.059,26475.473,4380.097,9
2004,6291.85,5634.783,39989.863,1617.784,14
2005,6918.427,5220.563,42637.244,1034.941,0
2006,5027.796,2586.556,44111.449,1818.428,3
2007,4201.951,2836.741,44576.673,1098.451,0
2008,2807.125,1958.719,23006.632,1755.779,4
2009,4217.673,1453.528,34217.867,2159.495,0
2010,3158.322,668.016,33110.445,1551.697,0
2011,2407.273,415.682,7316.772,1233.316,0
2012,2264.054,682.784,2618.245,1177.244,0
2013,1601.727,449.878,5169.486,1355.543,0
2014,975.266,770.001,3432.055,1367.41,0
2015,1205.909,1183.49,700.564,1045.27,1
2016,1019.588,1435.193,4630.787,813.627,0
2017,3226.579,2559.824,2631.546,1211.028,3
2018,2361.325,1640.392,5623.172,1266.254,0
2019,2030.387,1046.507,4813.749,753.976,0
2020,1817.986,1335.544,4014.803,661.566,0
2021,1583.25,1473.562,601.867,749.194,0
2022,0.683,59.304,9.741,6.376,0
2023,8.26,46.65,8.169,2.165,0
2024,400.647699569161,142.6611,4.082,1.93,0
2025,191.3555,194.42134,26.7718,1.508,0
