"year","NB","NL","NS","PEI","QC"
1995,972.068,2726.679,446.051,2459.959,2571.048
1996,1819.768,3754.578,511.052,4015.389,3795.932
1997,1195.266,1174.287,1726.406,6085.76,5457.703
1998,1080.542,2239.104,4482.1,6767.476,3732.303
1999,1064.018,1410.043,4691.305,3749.444,5103.569
2000,951.798,4395.798,4517.59,4069.282,1711.137
2001,1133.507,8981.081,3837.486,5734.982,2903.734
2002,1185.694,17935.89,3304.577,6072.76,4094.666
2003,1108.813,26475.473,6684.059,4541.305,4380.097
2004,1414.445,39989.863,5634.783,4877.405,1617.784
2005,1497.324,42637.244,5220.563,5421.103,1034.941
2006,1488.785,44111.449,2586.556,3539.011,1818.428
2007,1419.472,44576.673,2836.741,2782.479,1098.451
2008,1201.608,23006.632,1958.719,1605.517,1755.779
2009,1761.803,34217.867,1453.528,2455.87,2159.495
2010,1256.118,33110.445,668.016,1902.204,1551.697
2011,902.91,7316.772,415.682,1504.363,1233.316
2012,780,2618.245,682.784,1484.054,1177.244
2013,765.675,5169.486,449.878,836.052,1355.543
2014,448.556,3432.055,770.001,526.71,1367.41
2015,571.065,700.564,1183.49,634.844,1045.27
2016,198.821,4630.787,1435.193,820.767,813.627
2017,419.685,2631.546,2559.824,2806.894,1211.028
2018,288.323,5623.172,1640.392,2073.002,1266.254
2019,446.933,4813.749,1046.507,1583.454,753.976
2020,346.307,4014.803,1335.544,1471.679,661.566
2021,395.896,601.867,1473.562,1187.354,749.194
2022,0.273,0.141,55.802,0,0.563
2023,0.748,0,39.907,1.821,0.015
2024,43.109,0.001,137.094,139.493,0.222
2025,13.624,22.905,191.448,172.369,0.008
