year;TAC;type;reached
2024;470;CAN;
2023;0;CAN;
2022;0;CAN;NA
2021;4000;CAN;TRUE
2020;8000;CAN;TRUE
2019;8000;CAN;TRUE
2018;10000;CAN;TRUE
2017;10000;CAN;FALSE
2016;8000;CAN;TRUE
2015;8000;CAN;FALSE
2014;8000;CAN;FALSE
2013;36000;CAN;FALSE
2012;36000;CAN;FALSE
2011;60000;US_CAN;FALSE
2010;80000;US_CAN;FALSE
2009;150000;US_CAN;FALSE
2008;150000;US_CAN;FALSE
2007;150000;US_CAN;FALSE
2006;150000;US_CAN;FALSE
2005;150000;US_CAN;FALSE
2004;150000;US_CAN;FALSE
2003;150000;US_CAN;FALSE
2002;150000;US_CAN;FALSE
2001;150000;US_CAN;FALSE
2000;200000;US_CAN;FALSE
1999;200000;US_CAN;FALSE
1998;200000;US_CAN;FALSE
1997;200000;US_CAN;FALSE
1996;200000;US_CAN;FALSE
1995;200000;US_CAN;FALSE
1994;200000;US_CAN;FALSE
1993;200000;US_CAN;FALSE
1992;200000;US_CAN;FALSE
1991;200000;US_CAN;FALSE
1990;200000;US_CAN;FALSE
1989;200000;US_CAN;FALSE
1988;200000;US_CAN;FALSE
1987;200000;US_CAN;FALSE
