Mackerel recreational fishing (numbers),,,,,,,,,,,,,,
,NFL,PEI,NS,NB,QC,,,,,,,,,
2010,356836,98182,646399,,,,,,,,,,,
2005,546126,41434,481822,164970,,,,,,,,,,
2000,477720,43069,,,,,,,,,,,,
1995,225236,63145,,157169,,,,,,,,,,
1990,213063,84440,681745,258013,,,,,,,,,,
MAX (numbers),546126,98182,681745,258013,681745,2265811,,,,,,,,
weight (kg),0.3,0.3,0.3,0.3,0.3,,,,,,,,,
MAX Biomass (t),163.8378,29.4546,204.5235,77.4039,204.5235,679.7433,,,,,,,,
2022 population size (Q4),528818,172707,1030953,820786,8751352,11304616,,,,,,,,
fish/inhabitant,1.032729597,0.568488828,0.661276508,0.314348685,0.077901677,,,,,,,,,
MIN (numbers),213063,41434,481822,157169,41434,934922,for projections,,,,,,,
,0.2,0.2,0.2,0.2,0.2,,,,,,,,,
,42.6126,8.2868,96.3644,31.4338,8.2868,186.9844,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
